iter	Passed	Remaining
464	767	883
465	769	881
466	771	880
467	772	878
468	773	875
469	774	873
470	776	871
471	777	869
472	779	868
473	780	865
474	781	863
475	782	861
476	784	860
477	786	859
478	788	857
479	789	855
480	790	853
481	792	851
482	793	849
483	794	847
484	795	845
485	797	843
486	799	842
487	801	841
488	802	839
489	804	837
490	805	834
491	806	832
492	807	830
493	808	828
494	810	826
495	811	824
496	813	823
497	815	821
498	816	820
499	818	818
500	819	816
501	820	814
502	822	812
503	824	811
504	825	809
505	826	806
506	828	805
507	829	803
508	831	802
509	832	800
510	834	798
511	835	796
512	837	794
513	838	792
514	839	790
515	841	788
516	842	786
517	844	785
518	846	784
519	847	782
520	849	780
521	850	778
522	851	776
523	853	774
524	854	773
525	855	771
526	857	769
527	859	768
528	861	766
529	862	764
530	863	762
531	864	760
532	866	758
533	867	757
534	868	755
535	870	753
536	871	751
537	873	750
538	875	748
539	877	747
540	878	745
541	879	743
542	880	741
543	882	739
544	883	737
545	884	735
546	885	733
547	886	731
548	888	729
549	889	728
550	891	726
551	893	725
552	894	723
553	896	721
554	897	719
555	898	717
556	900	715
557	901	714
558	902	712
559	904	710
560	906	708
561	907	707
562	908	704
563	909	703
564	910	701
565	912	699
566	913	697
567	914	695
568	915	693
569	916	691
570	917	689
571	919	688
572	920	686
573	922	684
574	923	682
575	924	680
576	925	678
577	927	676
578	928	675
579	929	673
580	931	671
581	932	669
582	933	667
583	935	666
584	936	664
585	938	662
586	939	660
587	940	658
588	941	657
589	943	655
590	944	653
591	945	651
592	946	649
593	947	647
594	949	646
595	950	644
596	952	642
597	953	640
598	954	638
599	955	636
600	956	635
601	958	633
602	959	631
603	960	629
604	961	627
605	962	625
606	964	624
607	965	622
608	966	620
609	968	618
610	969	617
611	970	615
612	972	613
613	973	611
614	974	610
615	976	608
616	977	606
617	978	605
618	980	603
619	981	601
620	983	600
621	984	598
622	985	596
623	986	594
624	988	592
625	989	591
626	990	589
627	991	587
628	993	585
629	994	584
630	995	582
631	997	580
632	998	578
633	999	576
634	1000	575
635	1001	573
636	1002	571
637	1003	569
638	1005	567
639	1006	566
640	1007	564
641	1009	562
642	1010	561
643	1011	559
644	1013	557
645	1014	555
646	1015	554
647	1016	552
648	1017	550
649	1019	548
650	1020	546
651	1021	545
652	1022	543
653	1024	542
654	1026	540
655	1028	539
656	1029	537
657	1031	535
658	1032	534
659	1033	532
660	1034	530
